Months,Precipitation (inch),Temperature (F),GrainHeight (inch),NumDeer,NumWolf
   0 ,  16.13,  47.49,  99.61,   25,    3
   1 ,  20.44,  51.52,  79.07,   32,    3
   2 ,  19.59,  63.06,  47.17,   41,    3
   3 ,  21.87,  61.88,   6.27,   50,    3
   4 ,  19.46,  69.70,   0.00,   61,    3
   5 ,  17.07,  78.87,   0.00,   75,    4
   6 ,  13.50,  76.61,   0.00,   92,    5
   7 ,  12.42,  83.19,   0.00,  111,    6
   8 ,  10.07,  67.89,   0.00,  133,    8
   9 ,   9.63,  47.66,   0.00,  155,   12
  10 ,   9.73,  36.18,   0.00,  172,   20
  11 ,  14.66,  33.43,   0.00,  171,   37
  12 ,  16.16,  33.82,   0.00,  127,   67
  13 ,  17.68,  38.45,   0.00,   37,   92
  14 ,  19.67,  64.80,   0.00,    0,   43
  15 ,  22.15,  65.44,   0.02,    0,    4
  16 ,  18.43,  76.39,   0.02,    0,    0
  17 ,  16.65,  82.07,   0.02,    0,    0
  18 ,  15.34,  79.19,   0.02,    0,    0
  19 ,  11.84,  69.99,   0.02,    0,    0
  20 ,  10.28,  65.71,   0.09,    0,    0
  21 ,  10.77,  52.83,   9.68,    0,    0
  22 ,  10.17,  41.52,  58.52,    1,    0
  23 ,  15.12,  46.84,  81.62,    2,    1
  24 ,  18.35,  32.08,  92.91,    3,    2
  25 ,  17.59,  46.38, 108.63,    4,    2
  26 ,  21.45,  48.67, 110.99,    6,    2
  27 ,  20.19,  72.98, 104.99,    8,    2
  28 ,  17.32,  65.43,  97.03,   11,    2
  29 ,  14.81,  78.47,  86.03,   14,    2
  30 ,  15.33,  74.08,  72.03,   18,    2
  31 ,  12.16,  82.19,  54.03,   23,    2
  32 ,   9.36,  60.51,  31.78,   30,    2
  33 ,  10.25,  52.33,  12.71,   37,    2
  34 ,  11.43,  46.11,   9.44,   45,    2
  35 ,  11.60,  41.31,  12.34,   56,    3
  36 ,  18.28,  39.43,   0.00,   69,    3
  37 ,  20.13,  54.47,   0.00,   85,    4
  38 ,  21.75,  50.51,   0.00,  104,    5
  39 ,  20.21,  67.98,   0.00,  126,    6
  40 ,  17.91,  77.90,   0.00,  151,    9
  41 ,  18.07,  78.12,   0.00,  174,   15
  42 ,  12.77,  85.90,   0.00,  186,   28
  43 ,  12.33,  68.72,   0.00,  163,   55
  44 ,   9.95,  62.18,   0.00,   77,   96
  45 ,   9.56,  63.95,   0.00,    0,   83
  46 ,  12.19,  49.00,  21.18,    0,    8
  47 ,  15.14,  39.47,  59.46,    1,    0
  48 ,  17.81,  38.65,  85.13,    2,    1
  49 ,  20.89,  49.54,  89.28,    3,    2
  50 ,  19.66,  54.47,  88.70,    4,    2
  51 ,  22.48,  74.18,  84.70,    6,    2
  52 ,  20.77,  67.10,  78.71,    8,    2
  53 ,  16.28,  82.14,  70.71,   11,    2
  54 ,  12.57,  81.71,  59.71,   14,    2
  55 ,   9.99,  79.86,  45.71,   18,    2
  56 ,   8.11,  64.12,  27.85,   23,    2
  57 ,   8.31,  48.57,  28.15,   28,    2
  58 ,  10.42,  46.99,  30.78,   34,    2
  59 ,  15.07,  34.07,  23.98,   42,    2
  60 ,  15.06,  32.74,   4.85,   52,    3
  61 ,  20.28,  45.77,   0.00,   64,    3
  62 ,  22.54,  64.52,   0.00,   79,    4
  63 ,  20.33,  68.87,   0.00,   96,    5
  64 ,  18.72,  79.14,   0.00,  116,    6
  65 ,  15.48,  75.20,   0.00,  139,    8
  66 ,  12.42,  81.01,   0.00,  163,   12
  67 ,  11.69,  67.19,   0.00,  181,   21
  68 ,  10.38,  57.69,   0.00,  178,   41
  69 ,  10.18,  48.11,   0.00,  121,   78
  70 ,  12.56,  37.35,   0.00,   15,  103
  71 ,  13.53,  31.73,   7.28,    0,   25
